category,location_type,context,outcome_status,persistent_id,id,location_subtype,month,latitude,longitude,street_name,year
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",e9714db8e3c691b3d90290eac52d7c7b6ca7ffe4d95781f08dd849aeee22bde3,131622607,,10,52.479584,-0.901428,On or near Thatch Meadow Drive,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",c022db9f1951032e03d258492ab002d665f263f4fa33f691434b7661da9ef60c,131638850,,10,52.478301,-0.901725,On or near The Furlongs,2025
anti-social-behaviour,Force,,Unknown,,131647514,,10,52.466252,-0.911181,On or near Eady Drive,2025
anti-social-behaviour,Force,,Unknown,,131648758,,10,52.47828,-0.903272,On or near Holdenby Close,2025
anti-social-behaviour,Force,,Unknown,,131648304,,10,52.472496,-0.922569,On or near Naseby Square,2025
bicycle-theft,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",45032a4269820f25183406228d024821df55cefc81d0b3063394af00e15e5970,131623674,,10,52.479178,-0.909964,On or near Market Harborough,2025
bicycle-theft,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",7385d99089c4725654e7b60bb8e146ec31605d63e2c768bac78927ed410204a9,131633495,,10,52.477365,-0.912291,On or near Supermarket,2025
bicycle-theft,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",6f325efd328b1ff56b4de61d45bb074191c1b622760b26fc05058dba10d8491d,131638482,,10,52.477365,-0.912291,On or near Supermarket,2025
bicycle-theft,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",2a8da6df41b2960a8289688cd54351d3c4e1f0d2d027690a445e829915068d41,131639099,,10,52.477365,-0.912291,On or near Supermarket,2025
bicycle-theft,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",af6491ff7efa76efe15e02f231404d26d35dafdd7b6ad86d80828903a9f28a47,131622706,,10,52.479178,-0.909964,On or near Market Harborough,2025
bicycle-theft,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",6bd814b736ef6ab262b8c83d14c8e3d2635c8694a301d51d3666e07f43a17113,131628281,,10,52.477377,-0.914065,On or near Supermarket,2025
burglary,Force,,"{'category': 'Action to be taken by another organisation', 'date': '2025-10'}",50c095fe86365ae37b927f674dcfa1a5dbef403ad0d97bcb6c3d0fe6bcc08567,131624310,,10,52.472293,-0.919026,On or near Cross Street,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",e27a6afc6f742764aa952bbef18a421f7e3e78e71cfcf6606ab5b43b767eb10c,131625730,,10,52.477365,-0.912291,On or near Supermarket,2025
criminal-damage-arson,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",4a47a20f85e17e8880d3f9f364a541d93813a2ae0e2d5250c9be218f3df6236c,131623431,,10,52.472486,-0.917476,On or near Gladstone Street,2025
other-theft,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",8c1adff50e4a76cff0c5f3484cf3f2cea9530b58548b8f2bc9a39df1ed752773,131632960,,10,52.477377,-0.914065,On or near Supermarket,2025
other-theft,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",68fb5fc2f870c4872ae9700e9dc10f3343a3304707e228a30cf42c2d07ef6d43,131624481,,10,52.479178,-0.909964,On or near Market Harborough,2025
other-theft,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",85e674232e244554ced8fc51818d3d4f9f81b1ff36c61376b64f8e613ec888f6,131643982,,10,52.468744,-0.922161,On or near Green Lane,2025
public-order,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",4bb037179c03e183ed6ac84d347f52c3d8fd955bc7489d24d865109c8d9b45ba,131642873,,10,52.470592,-0.923705,On or near Fairfax Road,2025
public-order,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",2b08a7d1c2f7a514222f697041c31e990a4e94fc48be3dad94ebd44801ef2599,131644599,,10,52.468863,-0.921407,On or near Tungstone Way,2025
shoplifting,Force,,"{'category': 'Awaiting court outcome', 'date': '2025-10'}",3376f3a401486f2573fd47f6c2f89bdde0c471d94ce8dd8235c73f7bc490db16,131623894,,10,52.478411,-0.904874,On or near Woburn Close,2025
shoplifting,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",de3dc75277cfc36cc0aa07075f3e61e1b1d208896ae965c98d3b2cc1cf879e02,131628378,,10,52.47614,-0.915943,On or near Parking Area,2025
theft-from-the-person,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",6370f46bbff04852285a13b882842708ff7fda02ed045374b82c785c115132cc,131633080,,10,52.47305,-0.909379,On or near Launde Park,2025
vehicle-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",ee32898b6f8a47e2288db155a6a58565aa258b324540e0d5047f532972cd95ff,131634470,,10,52.467164,-0.933401,On or near Harrison Close,2025
vehicle-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",b4bababab2154764bc968f75a56eaa9d9fa9d45604056b624bd337160d507be6,131633595,,10,52.477259,-0.908613,On or near Rolleston Close,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",0dab5a563e71dfedb66b7771b9938780790a0123d5f6184eed1f0f5e2ca9cdc8,131625922,,10,52.477418,-0.907298,On or near Medway Close,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",934514815bdf5292aa30895d02a79896cb3aea6936b1b0d25c0aa0129821e100,131640492,,10,52.473734,-0.920242,On or near Parking Area,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",df99024f90512d71a9c03220a471b238963094e5f78bcf6d4946d46e89550db8,131636168,,10,52.472093,-0.922756,On or near Naseby Close,2025
violent-crime,Force,,"{'category': 'Further action is not in the public interest', 'date': '2025-10'}",38304919b03320b70432701a46dd8e0dd6525258ea633ebc6ff33555594cc452,131631861,,10,52.475009,-0.91123,On or near Rectory Lane,2025
violent-crime,Force,,"{'category': 'Awaiting court outcome', 'date': '2025-10'}",adacf96c8778e58947bff1b2bfa8fda799f594642c4befcbced63fd2e68fb788,131623909,,10,52.478411,-0.904874,On or near Woburn Close,2025
violent-crime,Force,,"{'category': 'Awaiting court outcome', 'date': '2025-10'}",7ba13a0fbd4284d7bbfd411f63f4e681bce1babc72bfa37f452056e05ac4e02a,131623911,,10,52.478411,-0.904874,On or near Woburn Close,2025
violent-crime,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",133a529fe350308507e702872bcaed6c76863205f4df18617e728c1d4d3f4479,131642226,,10,52.477365,-0.912291,On or near Supermarket,2025
violent-crime,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",c1967c3d344015ced593324d6f7a38aff39e98bb613e3626cce825311ba2518b,131644858,,10,52.469991,-0.92584,On or near Lenthall Square,2025
violent-crime,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",15b954fe6928130eb73c1d31184b88443a19cd09c80ecd5912046a8a792cf38c,131623661,,10,52.472486,-0.917476,On or near Gladstone Street,2025
violent-crime,Force,,"{'category': 'Local resolution', 'date': '2025-10'}",785d3858ccfd688e1ab6254aaeaec267e803f858c9a383d625d3c0bd74cbda75,131623801,,10,52.470779,-0.914735,On or near Northampton Road,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",9ff9d33c8581819e7cf65381211cd69e6a2b454566bc17e8ca245973e2e83620,131622434,,10,52.46665,-0.931265,On or near Barnard Gardens,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",99d18cf75c09b5cf822ea5e1bf2b0f39d18745324781ad50ffac48c9f3a4cb10,131631906,,10,52.469991,-0.92584,On or near Lenthall Square,2025
public-order,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",2406fa0ecc5a85280e23bd483967de79be908db3973233e63fdccd2312a79ab2,131642582,,10,52.431865,-1.11386,On or near Church Lane,2025
anti-social-behaviour,Force,,Unknown,,131646623,,10,52.448498,-1.195837,On or near Swinford Road,2025
anti-social-behaviour,Force,,Unknown,,131646618,,10,52.448498,-1.195837,On or near Swinford Road,2025
burglary,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",60274c63ce6b595d271cacfabf10931581c8359341198ad8e5e5abfe2e7bcf2c,131636903,,10,52.451317,-1.209823,On or near Moorbarns Lane,2025
drugs,Force,,"{'category': 'Local resolution', 'date': '2025-10'}",42bd56b575668deab9046780b42d6785ecf2525eadbcc89549b9029b19206d8f,131626955,,10,52.451909,-1.212314,On or near Attlee Close,2025
public-order,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",4207760e95bee23ff90a7328a461dc7f2c27f9e36e7f41fbe04e2cb442918f42,131628435,,10,52.448498,-1.195837,On or near Swinford Road,2025
violent-crime,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",7802b7a5449ebe92068ade9236d96e6b9b5135263b714dd4be9dba05c0dcb1ff,131638315,,10,52.45325,-1.227565,On or near Coventry Road,2025
violent-crime,Force,,"{'category': 'Further action is not in the public interest', 'date': '2025-10'}",6483b59418dae6070a5c7ecdb9787372111e193494725138d7d09083d60b6f33,131626818,,10,52.451909,-1.212314,On or near Attlee Close,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",73a0a5e989a7b69a3d2dfe9871e1271db5e28c1d52dad9bcc6b4d715a593db7a,131645260,,10,52.433505,-1.104855,On or near The Belt,2025
anti-social-behaviour,Force,,Unknown,,131646620,,10,52.454833,-1.22224,On or near West View Lane,2025
other-theft,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",be40c8c93071f860a3c6f6abec1e6d33134cb16a5c49ed290768cc7ad84e5208,131630792,,10,52.450144,-1.194541,On or near Parking Area,2025
other-theft,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",96571bdf9dff18522edff8a3fb428b929309790dc199fa32e35d22b7cf2aad35,131624981,,10,52.454833,-1.22224,On or near West View Lane,2025
violent-crime,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",caad27f765eda15b8c3df9fb6dc75c077dd21e0fc6d49b65e3d8e90bec239c71,131626175,,10,52.454833,-1.22224,On or near West View Lane,2025
violent-crime,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",3f197a57013a659e44acf9b9b5a8486b73a477c5bafaa7e20128a84fc774a1de,131639477,,10,52.452861,-1.213607,On or near Westerby Court,2025
anti-social-behaviour,Force,,Unknown,,131646029,,10,52.605901,-1.143799,On or near Duncan Road,2025
anti-social-behaviour,Force,,Unknown,,131648314,,10,52.59663,-1.135993,On or near Arnesby Crescent,2025
anti-social-behaviour,Force,,Unknown,,131647073,,10,52.58578,-1.153652,On or near Hillsborough Close,2025
anti-social-behaviour,Force,,Unknown,,131648111,,10,52.597202,-1.146774,On or near Eastwood Road,2025
anti-social-behaviour,Force,,Unknown,,131648264,,10,52.632985,-1.152092,On or near Fosse Road Central,2025
anti-social-behaviour,Force,,Unknown,,131645977,,10,52.671611,-1.173232,On or near Barnsdale Road,2025
anti-social-behaviour,Force,,Unknown,,131648792,,10,52.615215,-1.183289,On or near Lubbesthorpe Bridle Road,2025
anti-social-behaviour,Force,,Unknown,,131648730,,10,52.648933,-1.158406,On or near Newstead Avenue,2025
anti-social-behaviour,Force,,Unknown,,131648149,,10,52.642877,-1.163916,On or near Biddle Road,2025
anti-social-behaviour,Force,,Unknown,,131648799,,10,52.765844,-1.191709,On or near King George Road,2025
anti-social-behaviour,Force,,Unknown,,131647082,,10,52.610951,-1.222918,On or near Isla Drive,2025
anti-social-behaviour,Force,,Unknown,,131649085,,10,52.617462,-1.200337,On or near Home Avenue,2025
anti-social-behaviour,Force,,Unknown,,131648119,,10,52.639054,-1.162334,On or near Dartmouth Gardens,2025
anti-social-behaviour,Force,,Unknown,,131648718,,10,52.614169,-1.171109,On or near Braunstone Close,2025
anti-social-behaviour,Force,,Unknown,,131648103,,10,52.648749,-1.159074,On or near Whitley Close,2025
anti-social-behaviour,Force,,Unknown,,131647015,,10,52.5964,-1.15147,On or near Springclose,2025
anti-social-behaviour,Force,,Unknown,,131648100,,10,52.625551,-1.152191,On or near Petrol Station,2025
anti-social-behaviour,Force,,Unknown,,131648099,,10,52.615416,-1.144219,On or near Boundary Road,2025
anti-social-behaviour,Force,,Unknown,,131649168,,10,52.61858,-1.200775,On or near Lakin Drive,2025
anti-social-behaviour,Force,,Unknown,,131646993,,10,52.592024,-1.147952,On or near Whitteney Drive South,2025
anti-social-behaviour,Force,,Unknown,,131647873,,10,52.608956,-1.142322,On or near Harold Street,2025
anti-social-behaviour,Force,,Unknown,,131646991,,10,52.674166,-1.197025,On or near Bradgate Road,2025
anti-social-behaviour,Force,,Unknown,,131648069,,10,52.589443,-1.184994,On or near Hill View,2025
anti-social-behaviour,Force,,Unknown,,131646981,,10,52.639902,-1.162791,On or near Marvin Close,2025
anti-social-behaviour,Force,,Unknown,,131649163,,10,52.617462,-1.200337,On or near Home Avenue,2025
anti-social-behaviour,Force,,Unknown,,131647899,,10,52.589443,-1.184994,On or near Hill View,2025
anti-social-behaviour,Force,,Unknown,,131648067,,10,52.622852,-1.150707,On or near Bisley Street,2025
anti-social-behaviour,Force,,Unknown,,131648617,,10,52.586928,-1.13459,On or near Gloucester Crescent,2025
anti-social-behaviour,Force,,Unknown,,131647910,,10,52.609089,-1.189325,On or near Lubbesthorpe Way,2025
anti-social-behaviour,Force,,Unknown,,131648029,,10,52.589748,-1.150225,On or near Runcorn Road,2025
anti-social-behaviour,Force,,Unknown,,131646975,,10,52.658079,-1.165164,On or near Milton Crescent,2025
anti-social-behaviour,Force,,Unknown,,131646973,,10,52.624683,-1.182138,On or near Cort Crescent,2025
anti-social-behaviour,Force,,Unknown,,131649154,,10,52.617784,-1.198825,On or near Hilcot Green,2025
anti-social-behaviour,Force,,Unknown,,131649152,,10,52.624903,-1.163476,On or near Astley Close,2025
anti-social-behaviour,Force,,Unknown,,131646935,,10,52.589443,-1.184994,On or near Hill View,2025
anti-social-behaviour,Force,,Unknown,,131646111,,10,52.647359,-1.211897,On or near Forge Close,2025
anti-social-behaviour,Force,,Unknown,,131646122,,10,52.603864,-1.18508,On or near Lubbesthorpe Road,2025
anti-social-behaviour,Force,,Unknown,,131647950,,10,52.622639,-1.166207,On or near Braunstone Avenue,2025
anti-social-behaviour,Force,,Unknown,,131647962,,10,52.484287,-1.250406,On or near Goodacre Road,2025
anti-social-behaviour,Force,,Unknown,,131646938,,10,52.629847,-1.148341,On or near Celt Street,2025
anti-social-behaviour,Force,,Unknown,,131646941,,10,52.635236,-1.155181,On or near Bramley Road,2025
anti-social-behaviour,Force,,Unknown,,131648597,,10,52.533161,-1.21894,On or near Ellis Close,2025
anti-social-behaviour,Force,,Unknown,,131648594,,10,52.532457,-1.232339,On or near Grange Road,2025
anti-social-behaviour,Force,,Unknown,,131646171,,10,52.610951,-1.222918,On or near Isla Drive,2025
anti-social-behaviour,Force,,Unknown,,131648570,,10,52.561844,-1.174559,On or near Paramore Close,2025
anti-social-behaviour,Force,,Unknown,,131646280,,10,52.589443,-1.184994,On or near Hill View,2025
anti-social-behaviour,Force,,Unknown,,131648567,,10,52.593562,-1.145575,On or near Pasley Road,2025
anti-social-behaviour,Force,,Unknown,,131648877,,10,52.626576,-1.148404,On or near Paton Street,2025
anti-social-behaviour,Force,,Unknown,,131648555,,10,52.532457,-1.232339,On or near Grange Road,2025
anti-social-behaviour,Force,,Unknown,,131646296,,10,52.62622,-1.184725,On or near Pollard Road,2025
anti-social-behaviour,Force,,Unknown,,131648549,,10,52.64665,-1.176437,On or near Elgin Avenue,2025
anti-social-behaviour,Force,,Unknown,,131648516,,10,52.629217,-1.154484,On or near Westcotes Drive,2025
anti-social-behaviour,Force,,Unknown,,131648497,,10,52.574886,-1.21119,On or near Bradgate Close,2025
anti-social-behaviour,Force,,Unknown,,131646003,,10,52.647359,-1.211897,On or near Forge Close,2025
anti-social-behaviour,Force,,Unknown,,131648468,,10,52.626913,-1.168121,On or near Ashthorpe Road,2025
anti-social-behaviour,Force,,Unknown,,131648446,,10,52.568066,-1.204954,On or near Williams Close,2025
anti-social-behaviour,Force,,Unknown,,131649039,,10,52.527143,-1.210262,On or near Broctone Close,2025
anti-social-behaviour,Force,,Unknown,,131648442,,10,52.610951,-1.222918,On or near Isla Drive,2025
anti-social-behaviour,Force,,Unknown,,131648376,,10,52.628094,-1.203852,On or near Sylvan Way,2025
anti-social-behaviour,Force,,Unknown,,131646324,,10,52.637428,-1.196279,On or near Rowanberry Avenue,2025
anti-social-behaviour,Force,,Unknown,,131646337,,10,52.612783,-1.226859,On or near Almond Road,2025
anti-social-behaviour,Force,,Unknown,,131645939,,10,52.609254,-1.141223,On or near Denmark Road,2025
anti-social-behaviour,Force,,Unknown,,131646033,,10,52.589137,-1.150296,On or near Fountains Avenue,2025
anti-social-behaviour,Force,,Unknown,,131645938,,10,52.658218,-1.163254,On or near Balisfire Grove,2025
anti-social-behaviour,Force,,Unknown,,131645926,,10,52.679739,-1.207558,On or near Bradgate Road,2025
anti-social-behaviour,Force,,Unknown,,131645919,,10,52.612979,-1.22241,On or near Teviot Drive,2025
anti-social-behaviour,Force,,Unknown,,131646375,,10,52.618621,-1.231453,On or near Waldwick Close,2025
anti-social-behaviour,Force,,Unknown,,131645900,,10,52.749634,-1.202172,On or near Vale Close,2025
anti-social-behaviour,Force,,Unknown,,131646377,,10,52.662511,-1.163911,On or near Farrier Lane,2025
anti-social-behaviour,Force,,Unknown,,131645894,,10,52.759677,-1.20227,On or near Woodthorpe Road,2025
anti-social-behaviour,Force,,Unknown,,131646379,,10,52.635873,-1.154918,On or near Wentworth Road,2025
anti-social-behaviour,Force,,Unknown,,131648295,,10,52.644361,-1.174293,On or near Glengarry Way,2025
anti-social-behaviour,Force,,Unknown,,131645884,,10,52.556002,-1.237916,On or near Windermere Drive,2025
anti-social-behaviour,Force,,Unknown,,131645841,,10,52.453392,-1.198882,On or near Mill Grove,2025
anti-social-behaviour,Force,,Unknown,,131646493,,10,52.606724,-1.17094,On or near Gwencole Crescent,2025
anti-social-behaviour,Force,,Unknown,,131646510,,10,52.588548,-1.163637,On or near Dorothy Avenue,2025
anti-social-behaviour,Force,,Unknown,,131647818,,10,52.615416,-1.144219,On or near Boundary Road,2025
anti-social-behaviour,Force,,Unknown,,131646537,,10,52.571674,-1.205346,On or near Parking Area,2025
anti-social-behaviour,Force,,Unknown,,131648888,,10,52.615215,-1.183289,On or near Lubbesthorpe Bridle Road,2025
anti-social-behaviour,Force,,Unknown,,131646064,,10,52.746783,-1.203202,On or near Peter Laslett Close,2025
anti-social-behaviour,Force,,Unknown,,131646541,,10,52.611443,-1.163156,On or near Further/higher Educational Building,2025
anti-social-behaviour,Force,,Unknown,,131646547,,10,52.603572,-1.157415,On or near Middleton Street,2025
anti-social-behaviour,Force,,Unknown,,131646561,,10,52.633842,-1.155001,On or near Kirby Road,2025
anti-social-behaviour,Force,,Unknown,,131646068,,10,52.589443,-1.184994,On or near Hill View,2025
anti-social-behaviour,Force,,Unknown,,131646599,,10,52.628078,-1.157358,On or near Sykefield Avenue,2025
anti-social-behaviour,Force,,Unknown,,131646602,,10,52.625551,-1.152191,On or near Petrol Station,2025
anti-social-behaviour,Force,,Unknown,,131647735,,10,52.639902,-1.162791,On or near Marvin Close,2025
anti-social-behaviour,Force,,Unknown,,131647730,,10,52.65098,-1.182343,On or near Holmwood Drive,2025
anti-social-behaviour,Force,,Unknown,,131647665,,10,52.480226,-1.243791,On or near Lutterworth Road,2025
anti-social-behaviour,Force,,Unknown,,131647639,,10,52.638052,-1.150413,On or near Nugent Street,2025
anti-social-behaviour,Force,,Unknown,,131647636,,10,52.599163,-1.148094,On or near Aylestone Drive,2025
anti-social-behaviour,Force,,Unknown,,131647625,,10,52.631591,-1.148277,On or near West Holme Street,2025
